,antecedent,consequent,support,confidence,lift
0,frozenset({'GLD_Up'}),frozenset({'SLV_Up'}),0.24989078200087375,0.8436578171091446,2.2586347875588677
1,"frozenset({'GLD_Up', 'SPX_Same'})",frozenset({'SLV_Up'}),0.10659676714722587,0.8356164383561644,2.2371064647921175
2,"frozenset({'USO_Up', 'GLD_Up'})",frozenset({'SLV_Up'}),0.1328090869375273,0.9129129129129128,2.444044044044044
3,frozenset({'GLD_Down'}),frozenset({'SLV_Down'}),0.2276103101791175,0.8282988871224165,2.4214254822774093
4,"frozenset({'USO_Down', 'SLV_Down'})",frozenset({'GLD_Down'}),0.13018785495849716,0.7233009708737864,2.6321715776313153
5,"frozenset({'USO_Down', 'GLD_Down'})",frozenset({'SLV_Down'}),0.13018785495849716,0.8612716763005781,2.5178171993001572
6,"frozenset({'SPX_Same', 'GLD_Down'})",frozenset({'SLV_Down'}),0.1000436871996505,0.8327272727272726,2.4343712991988853
7,frozenset({'SLV_Same'}),frozenset({'GLD_Same'}),0.2105723023154216,0.7403993855606759,1.7258393009657709
8,"frozenset({'SLV_Same', 'SPX_Same'})",frozenset({'GLD_Same'}),0.11882918304936653,0.7619047619047619,1.7759674134419552
