,antecedent,consequent,support,confidence,lift
48,frozenset({'SPX_Same'}),"frozenset({'USO_Up', 'SLV_Same', 'GLD_Same'})",0.48623853211009177,1.0,2.330957230142566
49,frozenset({'GLD_Same'}),"frozenset({'USO_Up', 'SLV_Same', 'SPX_Same'})",0.48623853211009177,1.1334012219959266,2.330957230142566
50,"frozenset({'USO_Up', 'SLV_Same'})","frozenset({'GLD_Same', 'SPX_Same'})",0.48623853211009177,1.2705479452054795,2.613013698630137
51,"frozenset({'USO_Up', 'SPX_Same'})","frozenset({'SLV_Same', 'GLD_Same'})",0.48623853211009177,1.0,2.330957230142566
52,"frozenset({'USO_Up', 'GLD_Same'})","frozenset({'SLV_Same', 'SPX_Same'})",0.48623853211009177,1.1334012219959266,2.330957230142566
53,"frozenset({'SLV_Same', 'SPX_Same'})","frozenset({'USO_Up', 'GLD_Same'})",0.48623853211009177,1.0,2.330957230142566
54,"frozenset({'SLV_Same', 'GLD_Same'})","frozenset({'USO_Up', 'SPX_Same'})",0.48623853211009177,1.1334012219959266,2.330957230142566
55,"frozenset({'GLD_Same', 'SPX_Same'})","frozenset({'USO_Up', 'SLV_Same'})",0.48623853211009177,1.0,2.6130136986301373
56,"frozenset({'USO_Up', 'SLV_Same', 'SPX_Same'})",frozenset({'GLD_Same'}),0.48623853211009177,1.0,2.330957230142566
57,"frozenset({'USO_Up', 'SLV_Same', 'GLD_Same'})",frozenset({'SPX_Same'}),0.48623853211009177,1.1334012219959266,2.330957230142566
58,"frozenset({'USO_Up', 'GLD_Same', 'SPX_Same'})",frozenset({'SLV_Same'}),0.48623853211009177,1.0,3.5161290322580645
59,"frozenset({'SLV_Same', 'GLD_Same', 'SPX_Same'})",frozenset({'USO_Up'}),0.48623853211009177,1.0,2.6130136986301373
60,frozenset({'USO_Up'}),"frozenset({'SLV_Same', 'SPX_Same'})",0.48623853211009177,1.2705479452054795,2.613013698630137
61,frozenset({'SLV_Same'}),"frozenset({'USO_Up', 'SPX_Same'})",0.48623853211009177,1.7096774193548387,3.5161290322580645
62,frozenset({'SPX_Same'}),"frozenset({'USO_Up', 'SLV_Same'})",0.48623853211009177,1.0,2.6130136986301373
63,"frozenset({'USO_Up', 'SLV_Same'})",frozenset({'SPX_Same'}),0.48623853211009177,1.2705479452054795,2.613013698630137
64,"frozenset({'USO_Up', 'SPX_Same'})",frozenset({'SLV_Same'}),0.48623853211009177,1.0,3.5161290322580645
65,"frozenset({'SLV_Same', 'SPX_Same'})",frozenset({'USO_Up'}),0.48623853211009177,1.0,2.6130136986301373
66,frozenset({'SLV_Same'}),frozenset({'GLD_Same'}),0.4290083005679336,1.508448540706605,3.516129032258064
67,frozenset({'GLD_Same'}),frozenset({'SLV_Same'}),0.4290083005679336,1.0,3.5161290322580645
68,frozenset({'SLV_Same'}),"frozenset({'USO_Down', 'GLD_Same'})",0.3831367409349061,1.34715821812596,3.5161290322580645
69,frozenset({'GLD_Same'}),"frozenset({'SLV_Same', 'USO_Down'})",0.3831367409349061,0.8930753564154786,2.330957230142566
70,frozenset({'USO_Down'}),"frozenset({'SLV_Same', 'GLD_Same'})",0.3831367409349061,1.0,2.330957230142566
71,"frozenset({'SLV_Same', 'GLD_Same'})",frozenset({'USO_Down'}),0.3831367409349061,0.8930753564154786,2.330957230142566
72,"frozenset({'SLV_Same', 'USO_Down'})",frozenset({'GLD_Same'}),0.3831367409349061,1.0,2.330957230142566
73,"frozenset({'USO_Down', 'GLD_Same'})",frozenset({'SLV_Same'}),0.3831367409349061,1.0,3.5161290322580645
74,frozenset({'SLV_Same'}),"frozenset({'USO_Down', 'GLD_Same', 'SPX_Same'})",0.48623853211009177,1.7096774193548387,3.5161290322580645
